unit,song,artist,gender_of_artist,race_of_lead_artist,length_of_song,current_age,beat_of_song,year_of_song,lyrical_theme,single_or_album,level_of_formality,language_of_song,monthly_listeners,artist_count,explicit_or_clean,awards_won,number_of_songwriters,repetition_of_chorus,number_of_vocalists,number_of_instruments,has_song_been_number_1,does_it_have_music_video,certification_of_song,tempo_of_song,has_song_been_sampled,virality_score_of_song
S001,Alright,Kendrick Lamar,2,1,3.65,38,3,2015,2,2,3,1,73109468,1,1,1,3,3,1,4,2,1,1,3,1,9
S002,Oblivion,Grimes,1,2,4.3,37,3,2012,2,2,2,1,6576215,1,1,2,2,3,1,6,2,1,4,2,2,6
S003,Dancing On My Own,Robyn,1,2,4.8,46,1,2010,1,2,2,1,3900000,1,2,2,3,4,1,5,2,1,1,3,2,8
S004,Formation,Beyoncé,1,1,3.43,44,3,2016,2,1,2,1,55688583,1,3,1,4,3,1,5,1,1,1,1,1,9
S005,Thinkin Bout You,Frank Ocean,2,1,3.35,38,2,2012,1,2,3,1,35270360,1,1,2,3,3,1,4,2,1,1,2,1,8
S006,212,Azealia Banks (feat. Lazy Jay),1,1,3.4,34,1,2011,3,1,4,1,3100000,2,1,2,3,3,1,4,2,1,2,1,1,7
S007,Your Best American Girl,Mitski,1,4,3.53,35,2,2016,1,2,3,1,22804457,1,2,2,2,3,1,5,2,1,1,2,2,7
S008,Cranes in the Sky,Solange,1,1,3.85,39,2,2016,2,2,3,1,2303854,1,1,1,2,3,1,6,2,1,1,2,2,8
S009,Video Games,Lana Del Rey,1,2,4.7,40,2,2011,1,1,2,1,60900000,1,2,2,2,4,1,5,2,1,1,2,1,9
S010,XO TOUR Llif3,Lil Uzi Vert,2,1,3.05,31,3,2017,1,1,3,1,26500000,1,1,2,3,5,1,4,1,1,3,1,1,10
S011,Riding for the Feeling,Bill Callahan,2,2,6.08,59,2,2011,1,2,2,1,276529,1,2,2,1,2,1,3,2,1,4,2,2,6
S012,Everything Is Embarrassing,Sky Ferreira,1,2,3.55,33,3,2012,1,1,3,1,1493491,1,2,2,1,3,1,4,2,1,2,3,2,7
S013,I Don’t Like,Chief Keef (ft. Lil Reese),2,1,3.52,30,1,2012,4,1,4,1,11136981,2,1,2,2,3,2,3,2,1,1,1,1,8
S014,Shut Up Kiss Me,Angel Olsen,1,2,3.53,38,3,2016,1,2,3,1,598300,1,1,2,1,3,1,4,2,1,1,3,2,7
S015,Work,Rihanna (ft. Drake),3,1,3.75,37,1,2016,1,1,3,1,98800000,2,1,1,3,4,2,4,1,1,1,2,1,9
S016,Love It If We Made It,The 1975,3,2,4.03,36,3,2018,2,2,2,1,18600000,1,2,2,4,3,1,5,2,1,1,3,2,8
S017,Gosh,Jamie xx,2,2,3.83,37,3,2015,5,2,3,1,2800000,1,2,2,2,3,1,4,2,1,1,3,2,7
S018,Runaway,Kanye West (ft. Pusha T),2,1,9,48,2,2010,1,2,2,1,62900000,2,1,2,4,4,2,6,2,1,1,2,1,9
S019,Hannah Hunt,Vampire Weekend,3,2,5.17,41,2,2013,1,2,2,1,3900000,1,2,2,3,4,1,5,2,1,1,3,2,7
